BALTIC OPERATIONAL AND OCEANOGRAPHICAL SYSTEM (BOOS)
OCEANOGRAPHIC DATA
STATIONS

BOOSNR	= Station Number used in BOOS
PLATFORM	= Platform ID
STATION	= Station Name (Vessel Name)
LAT	= Latitude in decimal degress
LON	= Longitude in decimal degress
 
TYPE	= Station Type
where
FP	= Fixed Platform
TG	= Tide Gauge
MB	= Moored Buoy
FB	= Ferrybox/Vessel
GL	= Glider
CT	= CTD Profiles 
SF	= Lightship

DATUM	= Sea Level Reference Datum

OWNER/PROVIDER/PU = Station Owner / Data Provider / Production unit
where
BSH	=	1850	Federal Maritime and Hydrographic Agency	larissa.mueller@bsh.de
CTH	=	3506	Chalmers Technical University	guinnar.elgered@chalmers.se
DMI	=	469	Danish Meteorological Institute	vh@dmi.dk
DMU	=	3037	Danish Centre for Environment and Energy	las@dmu.dk
EMHI	=	872	Estonian Meteorological and Hydrological Institute	urmas.lips@phys.sea.ee
EPA	=	680	Environmental Protection Agency	aaa@aaa.am.lt
FISHSEC	=	991	Federal Research Centre for Fisheries	info@fishsec.org
FM	=	1217	Swedish Armed Forces	johanna.linders@smhi.se
FMI	=	1725	Finnish Meteorological Institute	pekka.alenius@fmi.fi
GBG	=	-	City of Gothenburg	johanna.linders@smhi.se
HZG	=	2842	Helmholtz-Zentrum Geesthacht	wilhelm.petersen@gkss.de
IMWM	=	193	Institute for Water Management	magdalena.kaminska@imgw.pl
IOPAS	=	195	Institute of Oceanology	wichor@iopan.gda.pl
IOW	=	116	Baltic Sea Research Institute Warnemünde	iowinfo@io-warnemuende.de
KDI	=	466	Danish Coastal Authority	cas@kyst.dk
KMRC	=	617	Kristineberg Marine Research Station	johanna.linders@smhi.se
LEGMA	=	892	Latvian Environment, Geology and Meteorology Agency	jurijs.siskins@lvgma.gov.lv
LHEI	=	698	Latvian Institute of Aquatic Ecology	anda.ikauniece@lhei.lv
LLUR	=	2537	State Office for Agriculture, Environment and Rural Areas of Schleswig Holstein	poststelle@llur.landsh.de
LNU	=	4812	Linnaeus University	johanna.linders@smhi.se
LUNG	=	993	State Agency for Environment, Nature and Geology, Mecklenburg-Vorpommern	poststelle@lung.mv-regierung.de
METNO	=	1212	Norwegian Meteorological Institute	bruce.hackett@met.no
MIG	=	1241	Maritime Institute Gdansk	anstas@im.gda.pl
MSI	=	713	Marine Systems Institute at Tallinn University of Technology	urmas.lips@msi.ttu.ee
NERI	=	729	National Environmental Research institute	las@dmu.dk
NIVA	=	1417	Norwegian Institute for Water research	pierre.jaccard@niva.no
NIOZ 	=	630	Royal Netherlands Institute for Sea Research	dmg@nioz.nl
NWAHEM	=	911	North-West Regional Administration for Hydrometeorology and Environmental Monitoring	gvi@meteo.nw.ru
RAS	=	685	P.P.Shirshov Institute of Oceanology	office@ocean.ru
RIHMI	=	681	All-Russia Research Institute of Hydrometeorological Information	nodc@meteo.ru
RUMS	=	2710	Federal Hydrometeorology and Environmental Monitoring Service	opnikitin@mail.ru
SMA	=	1215	Swedish Maritime Administration	lars.tornquist@sjofartsverket.se
SMF	=	618	Stockholm Research Centre	johanna.linders@smhi.se
SMHI	=	545	Swedish Meteorological and Hydrological Institute	johanna.linders@smhi.se
STE	=	1218	Stena Line	johanna.linders@smhi.se
SYKE	=	1104	Finnish Environmental Institute	seppo.kaitala@ymparisto.fi
UMF	=	622	Umea Research Centre	johanna.linders@smhi.se
UT	=	3138	University of Tartu	ivan.kuprijanov@ut.ee
WSA	=	2313	German Federal Waterways and Shipping Administration	larissa.mueller@bsh.de

PARAMETERS	= Parameters (myo_code) provided from each station. See MYO_PARAMETERS.txt for more information.


BOOSNR	PLATFORM	STATION	LAT	LON	TYPE	OWNER	PROVIDER	PU	wmo_platform_code	SLEV:time_sampling	SLEV:sea_level_datum	SLEV:processing_method	PARAMETERS

38001	FinnMaid	FinnMaid	N/A	N/A	FB	SYKE	SYKE	SMHI	OJMI	N/A	N/A	N/A	TIME LATX LONX DEPH FLU2 TEMP PSAL
38002	BalticPrincess	Baltic Princess	N/A	N/A	FB	MSI	MSI	SMHI	OJQF	N/A	N/A	N/A	TIME LATX LONX DEPH FLU2 TEMP PSAL
38003	TransPaper	TransPaper	N/A	N/A	FB	SMHI	SMHI	SMHI	SKEC	N/A	N/A	N/A	TIME LATX LONX DEPH DRYT FLU2 PHYC TUR4 LGHT DOXY TEMP PSAL
38004	ArgosUWS	Argos	N/A	N/A	FB	SMHI	SMHI	SMHI	SEPI	N/A	N/A	N/A	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH FLU2 TEMP PSAL
38005	Frej	Frej	N/A	N/A	FB	SMA	SMHI	SMHI	SBPT	N/A	N/A	N/A	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH TEMP
38006	ODEN	Oden	N/A	N/A	FB	SMA	SMHI	SMHI	SMLQ	N/A	N/A	N/A	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH TEMP
38007	Atle	Atle	N/A	N/A	FB	SMA	SMHI	SMHI	SBPR	N/A	N/A	N/A	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH TEMP
38008	Ymer	Ymer	N/A	N/A	FB	SMA	SMHI	SMHI	SDIA	N/A	N/A	N/A	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH TEMP
38009	StenaNordica	Stena Nordica	N/A	N/A	FB	SMHI	SMHI	SMHI	2BXO	N/A	N/A	N/A	TIME LATX LONX DEPH TEMP HCDT HCSP WDIR WSPD
38010	Galaxy	Galaxy	N/A	N/A	FB	SMHI	SMHI	SMHI	SFZQ	N/A	N/A	N/A	TIME LATX LONX DEPH TEMP PSAL
38011	SiljaSerenade	Silja Serenade	N/A	N/A	FB	SYKE	SYKE	SMHI	OJCS	N/A	N/A	N/A	TIME LATX LONX DEPH TEMP PSAL
38012	SiljaEuropa	Silja Europa	N/A	N/A	FB	MSI	MSI	SMHI	ESUJ	N/A	N/A	N/A	TIME LATX LONX DEPH FLU2 TEMP PSAL
38013	MSRomantika	MS Romantika	N/A	N/A	FB	MSI	MSI	SMHI	YLBT	N/A	N/A	N/A	TIME LATX LONX DEPH FLU2 TEMP PSAL
38014	Gauss	Gauss	N/A	N/A	FB	BSH	BSH	BSH	06GA	N/A	N/A	N/A	TIME LATX LONX PRES TEMP PSAL
38015	Deneb	Deneb	N/A	N/A	FB	BSH	BSH	BSH	06JX	N/A	N/A	N/A	TIME LATX LONX PRES TEMP PSAL
38016	Ale	Ale	N/A	N/A	FB	SMA	SMHI	SMHI	SBPQ	N/A	N/A	N/A	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH TEMP
38017	Aranda	Aranda	N/A	N/A	FB	SYKE	SYKE	SMHI	OIRY	N/A	N/A	N/A	TIME LATX LONX DEPH WDIR WSPD ATMP DRYT RELH FLU2 TEMP PSAL
38018	Victoria	Victoria	N/A	N/A	FB	UT	UT	SMHI	ESRP	N/A	N/A	N/A	TIME LATX LONX DEPH FLU2 TEMP PSAL
38019	Brahe	Brahe	N/A	N/A	FB	SYKE	SYKE	SMHI	OIEC	N/A	N/A	N/A	TIME LATX LONX DEPH TEMP PSAL
38020	FinnSea	FinnSea	N/A	N/A	FB	SYKE	SYKE	SMHI	OJOQ	N/A	N/A	N/A	TIME LATX LONX DEPH FLU2 TEMP PSAL
38025	ColorFantasy	Color Fantasy	N/A	N/A	FB	NIVA	NIVA	NIVA	LMSD	N/A	N/A	N/A	TIME LATX LONX DEPH TEMP PSAL DOXY
